Key,English,Chinese
interest_deduct_desc,The interests your promised will be deducted from your pledged assets,您承诺的利息将从质押的资产中扣除
confirm_paid,Confirm Paid,确认收款
repay_sent,Repayment Sent,欠款已转还
pledge_released,Your pledged asset has been released,您质押的资产已经解除冻结
common_share,Share,分享
loan_him,Loan Him/Her,给Ta借钱
asset_pledged,"The assets pledged by the loaner is been kept on Fingo’s escrow account, feel free to invest",借款人质押的资产已经在Fingo托管账户，请放心出借
invest_amount,Invest Amount,投资金额
investor_pay_in,Please make your payment in:,请及时完成转账
order_cancel_tips,Or the order will be automatically cancelled,倒计时结束，订单将自动取消
common_pay,Pay,付款
you_paid,You have paid,您已付款
loner_received,Loaner received your payment,借款人已收到款项
common_repaid,Repaid,已还款
loner_repaied,The loaner has repaid,借款人已还款
investor_repay_confirm,"Please check if you have received the repayment, auto-confirm count down",请检查并确认是否收到还款，自动确认倒计时
repay_confirmed,Repayment confirmed,还款已确认
deal_off,"The deal is off, check your interest at Me>Account>Account Assets",交易完成，请在我的>账户>账户资产中查收您的利息收益
deal_closed,"the pledged coins is yours now, check it at Me>Loan Account>Account Assets",借款人质押的资产已转至您的账户，请在我的>账户>账户资产中查收
overdue_tips,The loaner has {{value}} more days left to pay back the loan,借款人还有额外{{value}}天时间还清欠款
usdt_closed,check your principal and interest at Me>Account>Account Assets,请在我的>账户>账户资产中查看您的本金和收益
repay_received_status,Repayment Received,还款已收到
sent_to_account,Sent to your account ,已划至您账户
my_loans,My Loans,我的借款
my_invests,My Investments,我的投资
status_loaning,Loaning,借款中
to_repay_tab,To Repay,待还款
common_ended ,Ended,已结束
common_pending,Pending,待处理
common_receivables,Receivables,待回款
common_listed,Listed,展示中
pending_investor_pay,Pending Investor’s Payment,待投资者付款
loaner_confirmation, Pending Loaner’s Confirmation,待借款人确认
pending_confirmation,Pending your confirmation,待您确认收款
pending_repay,Pending Repayment,待还款
pending_investor_confirm,Pending Investor’s Confirmation,待投资人确认
liquidate_near_status,"Nearing liquidation price, extra pledges needed",接近平仓价，需要加仓
liquidate_pay_due,Liquidated(Payment overdue) ,已平仓(还款超时) 
liquidate_margin_call,Liquidated(Margin Call) ,已平仓(爆仓)
reoay_delayed,Repayment Delayed,还款逾期
status_cancelled,Cancelled,已取消
status_repaid,Repaid,已还款
pending_you_pay,Pending Your Payment,等待您的付款
total_invests,Total Investments ,总投资
total_interests,Total Interests ,总收益
common_investment,Investment,投资
common_loan,Loan,借款
total_loan,Total Loans,总借款
total_asset,Total Assets,总资产
total_gains,Total gains,总收益
asset_detail,Asset detail,资产详情
common_withdraw,Withdraw,提现
under_review,Under Review,审核中…
loan_reparation,Loan defaults reparations,借款违约赔款
interest_expense,Interest expense,利息支出
common_refund,Refund,资产解冻
common_reparation,Reparation,赔款
common_apply,Apply,应用
common_clear,Clear,清除
coin_type,Coin type,币种
records_type,Records type,记录类型
accumulated_gains,Accumulated gains,累计收益
investment_gains,Investment gains,投资收益
withdraw_coin,Withdrawal Coin,提现币种
withdraw_to,Withdraw to,提现至
available_withdraw,Available for withdraw,可提现总额
receiving_wallet,Receiving Wallet,收款钱包
receiving_address,Receiving Address,收款地址
add_pledge_tips,You need to add Pledge,您需要追加质押
add_pledge,Add Pledge,追加质押
pledge_received,Pledge Received,已收到质押资产
add_pledge_desc,"Since the price your pledge is dropping below the warning price, you need to add at least {{value}} as pledge asap.",由于您的质押资产价格低于预警价格，你需要尽快增加至少 {{value}}作为质押
amount_to_add,The amount of asset to add,追加质押资产的数量
confirm_pledge,Confirm Pledge,确认质押
liquidate_excuted,Liquidation is excuted,已执行平仓
liquidate_excuted_desc,"The price of the pledged asset is below liquidation price, the investor has chosen to close the order",质押的资产价格已跌至平仓价，投资人已选择平仓收回投资成本
to_repay,To Repay,去还款
repay_made_tips,"Are you sure you have made the repayment? If not, your clicks may result in account been locked",您确认已经还款？随意点击可能导致账户被锁定
liquidation_income,Liquidation Income,出借资金平仓收入
invest_principal,Investment Principal,投资本金回收
common_profits,Profits ,收益
loan_fees,Loan fees ,借款费用
pledges_released,Pledges Released,质押资产解冻
common_days,days,天
order_preempted,Preempted,已被抢
loan_amount,Loan Amount,借款金额
common_payment,Payment,付款
common_verification,Verification,验证
verification_code,Verification Code,验证码
get_code,Get Code,获取验证码
minutes_abr,min,分
seconds_abr,sec,秒
pay_password,Payment Password,支付密码
card_holder_name,Card holder Name,持卡人姓名
card_branch,Card Issuance Branch,开卡支行
error_2204,Invalid verification code,无效的验证码
error_2201,Invalid phone number,无效的手机号
take_photo,Take Photo,拍照
choose_album,Choose from Album,选择照片
holder_copied,Card holder name copied,持卡人姓名已复制
bank_name_copied,Bank name copied,银行名已复制
issuance_copied,Card issuance branch copied,发卡行名称已复制
card_number_copied,Card number copied,卡号已复制
memo_copied,Memo copied,备注已复制
margin_call,Margin Call,爆仓
common_close,Close,平仓
close_status_title,Close Position price reached,已到平仓价位
close_status_desc,You can close this order to reclaim your investment ,您可以选择平仓来回收投资成本
closed_title,You closed the position,您已平仓
common_closed,Closed,已平仓
repay_deadline,Repay Deadline,还款截止
common_loaner,Loaner,借款人
error-2202,"Login to frequent, please try later",登录过于频繁， 请稍后再试
error_2203,The account is locked,账号被锁
error_2106,Failed to upload photos,图片上传失败
error_2108,"Error in sending message, please try again",短信发送网络错误，请重试
account_available,Available Account Asset,账户可用资产
pay_timeout,"Payment timeout, please order again",付款超时，请重新下单
pay_timeout_desc,"If you have paid, you can try order again and confirm payment, or you can contact customer support",如果您已付款，您可重新下单并确认已付款，或者您可以联系客服处理
repay_received_confirm,Are you sure you have received the repayment?,您确认已经收到还款了吗？
repay_amount,Repay Amount,还款金额
payment_confirmation,Payment confirmation count down,付款确认倒计时
payment_received,Payment Received,收到付款
repay_count_loaner,The loaner will repay you in,借款人还款倒计时
confirm_investment,Confirm Investment,确认投资
repay_delayed_days,Repayment delayed {{value}} day(s),还款逾期{{value}}天
set_pay_password,Set Payment Password,设置支付密码
payment_password_desc,Please set a payment password for your account assets,请为您的账户资产设置支付密码
payment_confirm_tips,Are you sure you have made the payment?,您确认已经完成付款了吗？
card_delete_tips,Are you sure you want to delete this bank card?,确认要删除此收款银行卡吗？
payment_received_button,I Received the Payment,我已收到付款
payment_received_tips,Are you sure you have received the payment?,您确认已经收到付款了吗？
settings_auth_info,Identity Verification,身份认证
identity_unverified,Unverified,未认证
auth_idcard,ID Card,身份证
auth_idps_number,ID or Passport Number,身份证或护照号
auth_china,China,中国
auth_enter_number,Enter your ID number,输入证件号码
auth_front,Front,正面
auth_back,Back,反面
auth_passport_tips,Submit a clear photo of your passport,请提交您的护照照片
auth_reviewing,Your information is under review now…,您的信息正在审核当中…
auth_submit_tips,Submit a clear back and front photo of your ID card,请提交您的身份证正反面照片
auth_type,Type of Certificate,证件类型
auth_verified_idphoto,ID Photo,证件照片
auth_verified_tips,Your Identity information has been verified,您的身份信息已经验证
auth_with_idcard,Submit a picture of yourself holding your ID card,请提交一张本人手持身份证的照片
failed_try_again,"Identity Verification failed, please try again",身份认证失败，请重试
wallet_not_available,"No wallet available, you can create one",暂无钱包可用，您可创建一个
amount_lowest,Loan amount can’t be smaller than {{value}},借款金额不能小于{{value}}
amount_highest,Loan amount can’t be larger than {{value}},借款金额不能大于{{value}}
period_lowest,Loan period can’t be smaller than {{value}},借款天数必须大于{{value}}
period_highest,Loan period can’t be larger than {{value}},借款天数必须小于{{value}}
pledge_rate_lowest,Pledge rate must be higher than {{value}},质押率必须大于{{value}}
pledge_rate_highest,"Pledge rate must be less than {{value}}, you have to pledge at least {{coin}}",质押率必须小于{{value}}，您需要最少质押{{coin}}
annual_rate_lowest,Annual return rate can’t be 0,年化利率不能为0
annual_rate_highest,"Annual return rate must be less than {{value}}, it can be up to {{coin}}",年化利率需小于{{value}}，最多可为{{coin}}
order_cancel_desc,Are you sure you want to cancel this order?,确认要取消订单吗？
close_tips,Close this order means you will receive the loaner’s pledged assets to offset your investment costs,平仓意味着您将收到对方质押的资产，以抵消您的投资成本
common_status,Status,状态
common_confirmed,Confirmed,已确认
common_records,Records,记录
complete_pic,Slide to complete the picture,滑动完成拼图
suggest_amount,Suggest Amount,建议数量
this_month,This Month,本月
withdraw_record,Withdraw Record,提现记录
deposit_record,Deposit Record,充值记录
add_card_investor,Please add bank card to receive repayment,请添加银行卡以便接收对方的还款
add_card_loaner,Please add bank card to receive payment,请添加银行卡以便接收对方的付款
confirm_repayment,Confirm Repayment,确认还款
loaning_none,No loaning order,暂无借款中的订单
repayment_none,No order pending your repayment,暂无待还款的订单
complete_none,No completed order,暂无已完成的订单
pending_none,No order pending,暂无待处理的订单
pending_repay_none,No order pending repayment,暂无待回款的订单
gains_none,"No gains, go invest now",暂无收益，赶快去投资吧
send_from,Send from,发送至
validate_till,Address valid until,地址有效期至
minimal_deposit,Minimal Deposit Amount,最小充值额
error_2601,"Failed to get deposit address, please try again later",获取不到充值地址，请稍后重试
common_forever,Forever,永久
verify_tips,Please complete the identity verification first,请先完成实名认证
verify_identity,Verify Identity,验证身份
error_2502,This is your own loan order~,这是您自己的借单哦～
interger_tips,Please enter an integer,请输入整数
read_agreements,"Please read the following agreement carefully, check and confirm before proceeding to the next step",请认真阅读以下协议，勾选确认后进行下一步
read_confirm,I have read and agree with {{value}},我已阅读并同意{{value}}
payee_name_inconsistent,Payee name is not consistent with the identity of account,收款人名称与账号认证的身份不一致
withdraw_bottom,Withdrawal amount cannot be less than {{value}},提现金额不能少于{{value}}
withdraw_top,Withdrawal amount cannot be more than {{value}},提现金额不能多于{{value}}
invest_detail,Invest Detail,投资详情
due_date,Expected Due Date,预期到期时间
arrival_amount,Actual arrival amount {{value}},实际到账金额{{value}}
error_2505,"The order status has changed, the operation failed, please refresh and try again",订单状态发生变化，操作失败，请刷新后重试
withdraw_refused,Withdraw Refused,提现被拒
withdraw_cancelled,Withdraw Cancelled,提现已取消
withdraw_cancel_tips,Are you sure you want to cancel withdraw?,确认要取消提现申请吗？
common_today,Today,今天
common_tomorrow,Tomorrow,明天
letter_authorize,letter of authorization,授权委托书
crypto_disposal,Crypto Asset Disposal Agreement,数字资产处置协议
loan_agreement,Loan Agreement,借贷协议
common_general,General,通用
word_error,"Word input error, please check the red prompt and retype",有单词输入错误，请检查红色提示部分并重输
close_line,Close position line,平仓线
alert_line,Alert line,预警线
alert_line_desc,"Alert line: If the pledged asset value drops to the alert line, the loaner needs to add pledge to ensure the adequacy of the pledge",预警线：质押资产的价值跌至预警线，需要借款人追加质押，以保证质押的充足
close_line_desc,"Close position line: When the asset value falls to the close position line, the investor’s investment is at risk. The investor can thus close the position and offset the investment cost with the assets pledged by the loaner

",平仓线：当资产价值跌至平仓线，接近借款金额时，投资人有无法收回投资成本的风险，此时投资人可以手动平仓，以借款人质押的资产抵消投资成本
fees_loaner_desc,* The interests does not include service fee,* 利息不包含服务费
fees_investor_desc,* The service fee will be deducted from interest income,* 服务费将从利息收入中扣除
term_definition,Term definition,期限定义
value_date,Value Date,起息日
due_date_time,Due Date,还款日
tnx_time,Transaction Time,成交时间
due_time,Due Time,到期时间
maximun_overdue,Maximum days overdue,最大逾期天数
value_date_desc,i.e. the next day the loan succeed,即借款成功第二天开始计算
n_date_desc,n means the total loan period ,n为总借款天数
overdue_desc,Failure to repay on or before the due date shall be deemed as overdue,还款日未完成还款即视为逾期
overdue_definition,Overdue calculation method,逾期计算方式
overdue_days,Overdue {{value}} days,逾期{{value}}天
interests_triple,Daily interests*3,日利率*3
service_fee_triple,Service fee*3,服务费*3
cancel_withdraw_desc,Are you sure you want to cancel withdraw?,确认要取消提现吗？
push_order_cancelled,The investor cancelled the order and your order has been listed again,投资人取消订单，您的订单已经恢复展示
push_order_timeout,The investor did not pay in time and your order has resumed listing,投资人付款超时，您的订单已经恢复展示
invite_title,Invite friends to enjoy multiple gifts,邀请好友享多重好礼
invite_friends,Invite friends,邀请好友
gifts_up_to,"Gifts worth up to 20,000 CNY","最高价值20,000元的好礼"
invite_desc,"Get a bonus and commission of up to 20,000 CNY","获取最高价值20,000元的奖励与佣金"
invite_now,Invite Now,立即邀请
common_wechat,Wechat,微信
common_moments,Moments,朋友圈
common_qq,QQ,QQ
save_image,Save Image,保存图片
image_saved,Image saved,图片已保存
failed_save,Failed to save image,图片保存失败
my_invitations,My invitations,我的邀请
invite_first_tips,"Invite friends to loan and invest, get bonus of up to 10,000 CNY","邀请好友下单，累计可获价值高达10,000元的奖励"
first_order_reward,First Order Reward,首单奖励
commission_reward,Commission Reward,提成奖励
commission_desc,"Enjoy a commission of up to 10,000 CNY","享最高价值高达10,000元的提成"
comming_soon,coming soon…,敬请期待
common_coupons,Coupons,优惠票券
coupons_desc,Exchange service fee voucher and withdraw coupon,兑换服务费券和提现券
physical_gifts,Physical Gifts,实物专场
physical_gifts_desc,Get kitchen sets and other gifts,抢拉杆箱/厨房8件套等大礼
accum_reward,Accumulated Reward,累计奖励
friends_invited,Friends Invited,邀请人数
number_rewards,Number of rewards,奖励次数
reward_record,Rewards record,奖励记录
no_invited,"No friends have been invited yet, keep going～",暂未邀请到好友，继续加油哦～
no_reward,"No reward received yet, keep going～",暂无奖励，继续加油哦～
invitation_reward,Invitation reward,邀请奖励
trans_fee,Transaction Fee,交易费
amount_minimum,The amount can’t be smaller than 546 sat,发送金额不能小于546聪
trans_fee_insufficient,Please recharge BTC at least 546 sat to the USDT address before sending the USDT,请先充值BTC至少546聪至USDT地址再发送USDT
